FID,Fuel_Type,Latitude,Longitude
331,CNG,34.238744,-118.370919
332,ELEC,21.278207,-157.829708
333,CNG,34.030683,-118.224879
334,ELEC,21.311954,-157.8606
335,LNG,34.030683,-118.224879
336,CNG,34.230617,-118.549201
337,ELEC,21.418086,-157.806465
338,ELEC,33.94474,-118.4
339,ELEC,34.137906,-118.127981
340,LPG,35.136981,-120.628121
341,ELEC,21.328512,-158.086565
342,CNG,34.593733,-118.138103
343,ELEC,21.330107,-158.0818
344,HY,34.026184,-118.469032
345,ELEC,21.29908,-157.852
346,ELEC,21.877384,-159.440053
347,BD,35.254197,-120.670939
348,ELEC,20.941807,-156.689
349,BD,34.731738,-120.560982
350,LPG,34.133931,-118.000421
351,ELEC,21.973142,-159.378581
352,LPG,33.7882,-117.877839
353,ELEC,21.975096,-159.369142
354,LPG,34.074739,-118.099614
355,ELEC,21.975096,-159.369142
356,HY,33.743006,-117.897247
357,HY,33.8535,-118.313008
358,ELEC,21.975096,-159.369142
359,BD,34.919864,-117.89552
360,BD,20.916119,-156.381671
361,ELEC,21.327712,-158.085976
362,BD,21.328137,-157.885863
363,BD,33.873727,-117.907425
364,CNG,34.210621,-118.59773
365,E85,33.873727,-117.907425
366,CNG,33.807401,-118.28404
367,CNG,34.067611,-118.447872
368,ELEC,33.731548,-117.9944
369,CNG,33.810964,-118.163013
370,ELEC,33.658558,-118.0003
371,CNG,33.768447,-118.197824
372,ELEC,33.94474,-118.3997
373,CNG,34.051852,-118.236702
374,ELEC,34.424595,-119.7042
375,ELEC,34.098325,-118.11915
376,ELEC,33.865632,-117.995098
377,ELEC,33.82498,-118.245666
378,ELEC,33.861398,-118.100502
379,ELEC,33.997526,-117.927915
380,ELEC,33.675336,-117.91867
381,ELEC,33.946204,-118.145718
382,ELEC,34.136716,-117.977541
383,ELEC,34.092846,-118.2916
384,ELEC,33.964849,-118.3682
385,ELEC,34.05049,-118.411
386,ELEC,34.05154,-118.259
387,ELEC,34.04534,-118.267
388,ELEC,34.04503,-118.266
389,ELEC,34.04444,-118.268
390,ELEC,34.036643,-118.2325
391,ELEC,34.071733,-118.3571
392,ELEC,34.052659,-118.2571
393,ELEC,34.0611,-118.2063
394,ELEC,34.023483,-118.2878
395,ELEC,34.021103,-118.2898
396,ELEC,34.022017,-118.2818
397,ELEC,34.44389,-119.788
398,ELEC,34.03004,-118.481
399,ELEC,34.0332,-118.481
400,ELEC,34.302,-118.46
401,ELEC,34.186899,-118.8869
402,ELEC,34.279411,-119.3037
403,ELEC,34.409885,-119.697291
404,ELEC,34.921309,-120.422939
405,ELEC,34.921547,-120.436274
406,ELEC,34.030054,-118.458276
407,ELEC,34.604129,-120.093901
408,ELEC,34.610221,-120.086062
409,ELEC,33.955429,-118.205873
410,ELEC,34.250467,-119.205639
411,ELEC,33.803741,-117.887863
412,ELEC,33.690272,-117.874981
413,ELEC,33.763632,-118.194696
414,ELEC,33.774099,-118.192063
415,ELEC,33.766565,-118.194954
416,ELEC,34.28337,-118.781166
417,ELEC,33.857926,-118.302131
418,ELEC,34.208734,-118.483661
419,ELEC,33.834587,-117.914017
420,ELEC,34.670728,-118.146652
